"","can_off","can_off_sta","can_par_aff","can_inc_cha_ope_sea","ind_ite_con","ind_uni_con","ind_con","par_com_con","oth_com_con","can_con","tot_con","tra_fro_oth_aut_com","can_loa","oth_loa","tot_loa","oth_rec","ope_exp","tra_to_oth_aut_com","net_con","net_ope_exp","winner"
"1","H","GA","REP","INCUMBENT",554305,46969.5,601274.5,0,473675,0,1074949.5,17710.49,0,0,0,0,908518.98,0,1074949.5,907156.21,"Y"
"2","H","PA","DEM","CHALLENGER",1042280.38,72430.64,1114711.02,0,302834.2,0,1417545.22,0,0,0,0,0,1300557.53,0,1406719.06,1298831.83,"Y"
"3","H","FL","REP","OPEN",529030.38,13075,542105.38,0,106050,2700,650855.38,0,60000,0,60000,0,656642.76,0,650855.38,656210.29,"Y"
"4","H","MT","REP","INCUMBENT",2479616.45,1837715.13,4317331.58,3545.32,660038.51,0,4980915.41,136894,0,0,0,55910.19,5073110.33,0,4938943.74,5055942.15,"Y"
"5","H","CA","DEM","INCUMBENT",746233.93,150889.68,897123.61,0,308740,0,1205863.61,0,0,0,0,0,953436.94,0,1197676.61,949488.98,"Y"
"6","H","NC","DEM","INCUMBENT",256364.26,72440.26,328804.52,300,399750,0,728854.52,0,0,0,0,0,435688.13,264.85,725854.52,430826.04,"Y"
"7","H","WI","DEM","INCUMBENT",239089.22,154784.61,393873.83,28.54,576645,0,970547.37,0,0,0,0,0,445465.15,0,970385.04,445438.15,"Y"
"8","H","MA","DEM","INCUMBENT",707366.1,59683.46,767049.56,0,325220,0,1092269.56,0,0,0,0,0,464636.23,0,1092218.56,459790.68,"Y"
"9","H","OR","REP","INCUMBENT",827711.91,141725.12,969437.03,0,2042913.61,0,3012350.64,94317.84,0,0,0,981.88,1937694.04,0,3004650.64,1911215.54,"Y"
"10","H","MA","DEM","INCUMBENT",1887969.18,50223.2,1938192.38,0,859775,0,2797967.38,191442.43,0,0,0,20196.83,1539411.68,0,2784362.26,1537844.39,"Y"
"11","H","WI","REP","INCUMBENT",141184.99,34268.16,175453.15,2000,187750,0,365203.15,0,0,0,0,353.05,265824.16,0,365203.15,265824.16,"Y"
"12","H","FL","REP","INCUMBENT",504415.07,117792.79,622207.86,0,213850,0,836057.86,0,0,0,0,154.15,785308.58,0,830657.86,785298.58,"Y"
"13","H","ME","DEM","INCUMBENT",278160.33,103160.81,381321.14,0,151250,40986.84,573557.98,0,0,0,0,18.05,239805.52,0,571307.98,238294.57,"Y"
"14","H","FL","REP","OPEN",648874.74,38149.49,687024.23,0,147550,117589.66,952163.89,0,115000,0,115000,0,993759.23,0,951163.89,993759.23,"Y"
"15","H","FL","REP","INCUMBENT",507213.61,64768.82,571982.43,0,736175,0,1308157.43,1939.99,0,0,0,46.8,1266055.92,0,1306012.36,1260554.41,"Y"
"16","H","PA","DEM","INCUMBENT",142288,2691.44,144979.44,0,637734.26,0,782713.7,0,0,0,0,1277.63,457290.79,0,777713.7,454476.55,"Y"
"17","H","CO","DEM","INCUMBENT",822358,63748.93,886106.93,0,0,397729.01,1283835.94,1151.32,0,0,0,35.21,1103191.74,0,1281823.94,1102838.77,"Y"
"18","H","MN","DEM","INCUMBENT",934008.98,1063994.48,1998003.46,0,303750,0,2301753.46,35764.29,0,0,0,8252.97,1628028.8,0,2294848.39,1622329.1,"Y"
"19","H","MO","REP","INCUMBENT",493692.37,23660.26,517352.63,0,1292452.36,0,1809804.99,18714.81,0,0,0,0,556138.38,0,1795890.99,550469.87,"Y"
"20","H","IL","REP","INCUMBENT",1230616.43,155507.9,1386124.33,2600,1046119.5,0,2434843.83,42651.79,0,0,0,349.2,1951949.91,0,2424378.83,1941921.99,"Y"
"21","H","FL","REP","INCUMBENT",395547.04,67676,463223.04,0,381820,0,845043.04,0,0,0,0,402.6,517015.07,0,837793.04,516550.17,"Y"
"22","H","VA","DEM","INCUMBENT",1101330,54145.29,1155475.29,0,828886.67,5601.65,1989963.61,0,0,0,0,169.19,761705.05,0,1982462.14,742454.92,"Y"
"23","H","MI","DEM","INCUMBENT",265276.89,49563.3,314840.19,0,468092.89,0,782933.08,0,0,0,0,241.23,499453.15,0,766433.08,498853.15,"Y"
"24","H","OH","REP","INCUMBENT",1500081.69,62550.6,1562632.29,0,2699015,0,4261647.29,0,0,0,0,18399.09,1319059.81,0,4258847.29,1318584.81,"Y"
"25","H","LA","REP","INCUMBENT",421165,8938.21,430103.21,0,438849.86,0,868953.07,2490273.66,0,0,0,9452.85,2459809.06,753955,863953.07,2449513.59,"Y"
"26","H","GA","DEM","INCUMBENT",357268.09,54375.24,411643.33,0,571850,0,983493.33,0,0,0,0,0,655731.53,0,980363.33,655566.55,"Y"
"27","H","CO","REP","INCUMBENT",380583.38,139658.38,520241.76,150,294119.91,0,814511.67,122124.34,0,0,0,26514.62,551168.76,122124.34,808161.67,550056.91,"Y"
"28","H","AL","REP","INCUMBENT",896800,11360.52,908160.52,0,279264,0,1187424.52,0,0,0,0,1000,465478.12,0,1175074.52,451946.24,"Y"
"29","H","OH","REP","INCUMBENT",353475.97,54170.15,407646.12,250,592672.2,0,1000568.32,0,0,0,0,0.57,384642.27,0,998358.48,384494.66,"Y"
"30","H","FL","REP","OPEN",830547.5,36711,867258.5,0,0,3686754,4554012.5,0,450000,0,450000,0,4718827.88,0,4550062.5,4718541.53,"Y"
"31","H","MO","REP","INCUMBENT",1047225,7985.7,1055210.7,0,1155750,0,2210960.7,0,0,0,0,0,1122537.65,50000,2202760.7,1118312.25,"Y"
"32","H","NC","DEM","INCUMBENT",153750,25092.48,178842.48,0,855581.36,0,1034423.84,0,0,0,0,71.56,653860.34,0,1033153.84,645262.84,"Y"
"33","H","PA","DEM","INCUMBENT",335075,3791,338866,0,305700,0,644566,0,0,0,0,6151.96,302059.98,0,644566,302059.98,"Y"
"34","H","SD","REP","INCUMBENT",936562.81,173345.64,1109908.45,750,1114637,0,2225295.45,9629.37,0,0,0,3254.23,1090103.9,0,2217745.45,1082356.55,"Y"
